# vP1_Q1Q4_AC_set	wait_q4_set	su_S_North
# "vP1_Q1Q4_AC"	"wait_q4"	"su_S_North"
# 21	61
55	13.5	0.825
55	15	0.865
55	16.5	0.875
55	18	0.755
55	19.5	0.58
55	21	0.475
55	22.5	0.38
55	24	0.25
55	25.5	0.26
55	27	0.395
55	28.5	0.34
55	30	0.52
55	31.5	0.72
55	33	0.825
55	34.5	0.77
55	36	0.755
55	37.5	0.74
55	39	0.56
55	40.5	0.675
55	42	0.39
55	43.5	0.28
55	45	0.26
55	46.5	0.275
55	48	0.51
55	49.5	0.515
55	51	0.61
55	52.5	0.65
55	54	0.865
55	55.5	0.765
55	57	0.78
55	58.5	0.58
55	60	0.32
55	61.5	0.285
55	63	0.465
55	64.5	0.545
55	66	0.54
55	67.5	0.46
55	69	0.675
55	70.5	0.765
55	72	0.74
55	73.5	0.525
55	75	0.575
55	76.5	0.44
55	78	0.4
55	79.5	0.48
55	81	0.46
55	82.5	0.55
55	84	0.575
55	85.5	0.61
55	87	0.68
55	88.5	0.615
55	90	0.615

54.9	0	0.41
54.9	1.5	0.3
54.9	3	0.18
54.9	4.5	0.195
54.9	6	0.225
54.9	7.5	0.43
54.9	9	0.65
54.9	10.5	0.64
54.9	12	0.83
54.9	13.5	0.84
54.9	15	0.82
54.9	16.5	0.715
54.9	18	0.525
54.9	19.5	0.355
54.9	21	0.275
54.9	22.5	0.32
54.9	24	0.23
54.9	25.5	0.47
54.9	27	0.635
54.9	28.5	0.665
54.9	30	0.795
54.9	31.5	0.765
54.9	33	0.82
54.9	34.5	0.82
54.9	36	0.705
54.9	37.5	0.53
54.9	39	0.47
54.9	40.5	0.26
54.9	42	0.32
54.9	43.5	0.25
54.9	45	0.48
54.9	46.5	0.69
54.9	48	0.73
54.9	49.5	0.705
54.9	51	0.705
54.9	52.5	0.555
54.9	54	0.365
54.9	55.5	0.405
54.9	57	0.37
54.9	58.5	0.35
54.9	60	0.445
54.9	61.5	0.415
54.9	63	0.42
54.9	64.5	0.47
