# sig_gen2_power_set	waittime_set	su_S_North
# "Power"	"waittime"	"su_S_North"
# 10	201
-1.6	19656	0.5
-1.6	19824	0.46
-1.6	19992	0.48
-1.6	20160	0.3
-1.6	20328	0.4
-1.6	20496	0.38
-1.6	20664	0.5
-1.6	20832	0.46
-1.6	21000	0.48
-1.6	21168	0.44
-1.6	21336	0.54
-1.6	21504	0.62
-1.6	21672	0.48
-1.6	21840	0.58
-1.6	22008	0.6
-1.6	22176	0.66
-1.6	22344	0.6
-1.6	22512	0.52
-1.6	22680	0.56
-1.6	22848	0.36
-1.6	23016	0.38
-1.6	23184	0.58
-1.6	23352	0.44
-1.6	23520	0.48
-1.6	23688	0.54
-1.6	23856	0.54
-1.6	24024	0.52
-1.6	24192	0.48
-1.6	24360	0.54
-1.6	24528	0.42
-1.6	24696	0.48
-1.6	24864	0.6
-1.6	25032	0.58
-1.6	25200	0.58
-1.6	25368	0.4
-1.6	25536	0.48
-1.6	25704	0.6
-1.6	25872	0.54
-1.6	26040	0.48
-1.6	26208	0.44
-1.6	26376	0.44
-1.6	26544	0.72
-1.6	26712	0.48
-1.6	26880	0.4
-1.6	27048	0.42
-1.6	27216	0.44
-1.6	27384	0.66
-1.6	27552	0.46
-1.6	27720	0.62
-1.6	27888	0.48
-1.6	28056	0.6
-1.6	28224	0.5
-1.6	28392	0.54
-1.6	28560	0.5
-1.6	28728	0.58
-1.6	28896	0.5
-1.6	29064	0.56
-1.6	29232	0.56
-1.6	29400	0.42
-1.6	29568	0.38
-1.6	29736	0.56
-1.6	29904	0.58
-1.6	30072	0.56
-1.6	30240	0.6
-1.6	30408	0.42
-1.6	30576	0.62
-1.6	30744	0.5
-1.6	30912	0.52
-1.6	31080	0.42
-1.6	31248	0.46
-1.6	31416	0.62
-1.6	31584	0.48
-1.6	31752	0.36
-1.6	31920	0.52
-1.6	32088	0.66
-1.6	32256	0.4
-1.6	32424	0.48
-1.6	32592	0.54
-1.6	32760	0.6
-1.6	32928	0.56
-1.6	33096	0.48
-1.6	33264	0.66
-1.6	33432	0.54
-1.6	33600	0.48

-1.5	0	0.88
-1.5	168	0.92
-1.5	336	0.8
-1.5	504	0.78
-1.5	672	0.56
-1.5	840	0.64
-1.5	1008	0.3
-1.5	1176	0.2
-1.5	1344	0.08
-1.5	1512	0.1
-1.5	1680	0.22
-1.5	1848	0.2
-1.5	2016	0.36
-1.5	2184	0.4
-1.5	2352	0.52
-1.5	2520	0.64
-1.5	2688	0.86
-1.5	2856	0.9
-1.5	3024	0.9
-1.5	3192	0.86
-1.5	3360	0.88
-1.5	3528	0.8
-1.5	3696	0.66
-1.5	3864	0.62
-1.5	4032	0.64
-1.5	4200	0.26
-1.5	4368	0.2
-1.5	4536	0.12
-1.5	4704	0.22
-1.5	4872	0.14
-1.5	5040	0.18
-1.5	5208	0.4
-1.5	5376	0.26
-1.5	5544	0.46
-1.5	5712	0.62
-1.5	5880	0.56
-1.5	6048	0.68
-1.5	6216	0.82
-1.5	6384	0.9
-1.5	6552	0.8
-1.5	6720	0.68
-1.5	6888	0.7
-1.5	7056	0.62
-1.5	7224	0.56
-1.5	7392	0.28
-1.5	7560	0.26
-1.5	7728	0.3
-1.5	7896	0.2
-1.5	8064	0.38
-1.5	8232	0.3
-1.5	8400	0.26
-1.5	8568	0.38
-1.5	8736	0.36
-1.5	8904	0.66
-1.5	9072	0.5
-1.5	9240	0.72
-1.5	9408	0.7
-1.5	9576	0.86
-1.5	9744	0.82
-1.5	9912	0.38
-1.5	10080	0.74
-1.5	10248	0.54
-1.5	10416	0.32
-1.5	10584	0.42
-1.5	10752	0.44
-1.5	10920	0.26
-1.5	11088	0.24
-1.5	11256	0.32
-1.5	11424	0.4
-1.5	11592	0.44
-1.5	11760	0.48
-1.5	11928	0.4
-1.5	12096	0.6
-1.5	12264	0.82
-1.5	12432	0.8
-1.5	12600	0.78
-1.5	12768	0.52
-1.5	12936	0.66
-1.5	13104	0.68
-1.5	13272	0.68
-1.5	13440	0.58
-1.5	13608	0.36
-1.5	13776	0.4
-1.5	13944	0.52
-1.5	14112	0.44
-1.5	14280	0.42
-1.5	14448	0.5
-1.5	14616	0.48
-1.5	14784	0.42
-1.5	14952	0.44
-1.5	15120	0.42
-1.5	15288	0.66
-1.5	15456	0.72
-1.5	15624	0.5
-1.5	15792	0.6
-1.5	15960	0.6
-1.5	16128	0.64
-1.5	16296	0.56
-1.5	16464	0.38
-1.5	16632	0.56
-1.5	16800	0.5
-1.5	16968	0.6
-1.5	17136	0.54
-1.5	17304	0.4
-1.5	17472	0.38
-1.5	17640	0.38
-1.5	17808	0.4
-1.5	17976	0.38
-1.5	18144	0.56
-1.5	18312	0.54
-1.5	18480	0.48
-1.5	18648	0.72
-1.5	18816	0.68
-1.5	18984	0.64
-1.5	19152	0.58
-1.5	19320	0.56
-1.5	19488	0.74
-1.5	19656	0.52
-1.5	19824	0.48
-1.5	19992	0.54
-1.5	20160	0.36
-1.5	20328	0.42
-1.5	20496	0.58
-1.5	20664	0.56
-1.5	20832	0.62
-1.5	21000	0.48
-1.5	21168	0.5
-1.5	21336	0.56
-1.5	21504	0.44
-1.5	21672	0.5
-1.5	21840	0.5
-1.5	22008	0.64
-1.5	22176	0.54
-1.5	22344	0.5
-1.5	22512	0.48
-1.5	22680	0.46
-1.5	22848	0.76
-1.5	23016	0.54
-1.5	23184	0.44
-1.5	23352	0.5
-1.5	23520	0.5
-1.5	23688	0.66
-1.5	23856	0.48
-1.5	24024	0.58
-1.5	24192	0.62
-1.5	24360	0.44
-1.5	24528	0.46
-1.5	24696	0.64
-1.5	24864	0.56
-1.5	25032	0.52
-1.5	25200	0.6
-1.5	25368	0.46
-1.5	25536	0.52
-1.5	25704	0.52
-1.5	25872	0.56
-1.5	26040	0.6
-1.5	26208	0.5
-1.5	26376	0.56
-1.5	26544	0.56
-1.5	26712	0.5
-1.5	26880	0.44
-1.5	27048	0.56
-1.5	27216	0.52
-1.5	27384	0.44
-1.5	27552	0.68
-1.5	27720	0.46
-1.5	27888	0.46
-1.5	28056	0.6
-1.5	28224	0.58
-1.5	28392	0.52
-1.5	28560	0.58
-1.5	28728	0.52
-1.5	28896	0.44
-1.5	29064	0.5
-1.5	29232	0.54
-1.5	29400	0.5
